"","gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"265","G530011O06Rik",3.17538105757162e-42,-0.530409552757395,0.083,0.241,1.025171774437e-37
"266","Lrrc3",7.78297387207053e-42,-0.28996618692248,0.033,0.165,2.51273311459797e-37
"267","Gas6",7.94533098839745e-42,-0.313386459916078,0.024,0.149,2.56515010960412e-37
"268","Sdc4",8.00682125466775e-42,0.290855287041041,0.62,0.366,2.58500224206948e-37
"269","Ccl2",1.07367512471733e-41,-1.10923953928843,0.318,0.483,3.46636014014989e-37
"270","mt-Cytb",1.19638198466125e-41,-0.494498742485757,0.986,0.982,3.86251923747883e-37
"271","Ldhb",1.46268892071847e-41,-0.884916710241297,0.333,0.462,4.72229118053959e-37
"272","Ets2",1.55618320173035e-41,0.266654771037484,0.429,0.204,5.02413746678643e-37
"273","Sdcbp",2.15775974920276e-41,0.343928981034732,0.966,0.891,6.96632735030112e-37
"274","Dram1",3.42964740699111e-41,0.272440062273976,0.462,0.229,1.10726166534708e-36
"275","Hopx",3.69385992687787e-41,0.28224496790531,0.561,0.298,1.19256267739252e-36
"276","Fosb",4.78683991805374e-41,0.284975700923405,0.692,0.442,1.54543126754365e-36
"277","Nfil3",6.77542628640631e-41,0.281503266070591,0.564,0.314,2.18744637656628e-36
"278","Tspan7",9.2892148458196e-41,-0.30181648996093,0.033,0.163,2.99902301297286e-36
"279","Rab20",9.40251940681308e-41,0.364740180014455,0.674,0.429,3.0356033904896e-36
"280","C5ar1",1.92377667598272e-40,0.367571966972778,0.77,0.515,6.21091299841021e-36
"281","Rbms1",2.52619761757492e-40,0.328406241609141,0.763,0.528,8.15582900834062e-36
"282","Siva1",3.07313561778501e-40,0.306013765847315,0.619,0.366,9.92161834201891e-36
"283","Ndufb1-ps",3.45257932990675e-40,0.274573444328009,0.978,0.925,1.11466523666039e-35
"284","Bri3",4.44147427687958e-40,0.322397113130352,0.94,0.813,1.43392997029057e-35
"285","Fbxl5",4.6321159299396e-40,0.330360667345537,0.549,0.308,1.495478627981e-35
